original_generic,generic,qud_att_focus,qud_concept_focus,qud_no_focus
"Usually, pecans should be roasted.",pecans are roasted .,what pecans are,what is roasted,what is true about pecans
"Usually, pecans can be found in grocery stores, but if you can't find them, you can order them online.","pecans are found in grocery stores , but if you ca not find them , you can order them online .",where pecans are found,"what is found in grocery stores , but if you ca not find them , you can order them online",what is true about pecans
"Usually, newborn babies are fed breast.",newborn babies are fed breast .,what newborn babies are fed,what is fed breast,what is true about newborn babies
"Usually, guns are used in self defense.",guns are used in self defense .,where guns are used,what is used in self defense,what is true about guns
"Usually, an ointment should be applied directly to the affected area.",an ointment is applied directly to the affected area .,what ointments are applied directly,what is applied directly to the affected area,what is true about ointments
"Usually, an ill patient is taken to a hospital emergency room.",an ill patient is taken to a hospital emergency room .,what ill patients are taken to,what is taken to a hospital emergency room,what is true about ill patients
"Usually, an electrocardiogram has to be taken to confirm a heart attack.",an electrocardiogram is taken to confirm a heart attack .,what electrocardiograms are taken to confirm,what is taken to confirm a heart attack,what is true about electrocardiograms
"Usually, a porpoise is found at sea.",a porpoise is found at sea .,what porpoises are found at,what is found at sea,what is true about porpoises
"Usually, a painting may be sold at auction.",a painting is sold at auction .,what paintings are sold at,what is sold at auction,what is true about paintings
"Usually, a painting is created by a single artist.",a painting is created by a single artist .,who paintings are created by,what is created by a single artist,what is true about paintings
"Usually, a gun may be used to commit a crime.",a gun is used to commit a crime .,what guns are used to do,what is used to commit a crime,what is true about guns
"Usually, a green vegetable may be eaten raw, but it is best to cook them.","a green vegetable is eaten raw , but it is best to cook them .",what green vegetables are eaten,"what is eaten raw , but it is best to cook them",what is true about green vegetables
"Usually, a cookbook can be purchased.",a cookbook is purchased .,what cookbooks are,what is purchased,what is true about cookbooks
"Typically, swamps may have many different types of plants.",swamps have many different types of plants .,what swamps have,what has many different types of plants,what is true about swamps
"Typically, stairs are used to ascend.",stairs are used to ascend .,what stairs are used,what is used to ascend,what is true about stairs
"Typically, ill patients are admitted to the emergency department.",ill patients are admitted to the emergency department .,what ill patients are admitted to,what is admitted to the emergency department,what is true about ill patients
"Typically, crockery can be removed from the dishwasher.",crockery is removed from the dishwasher .,what crockeries are removed from,what is removed from the dishwasher,what is true about crockeries
"Typically, an ill patient are referred to a hospital.",an ill patient are referred to a hospital .,where ill patients are referred to,what is referred to a hospital,what is true about ill patients
"Typically, a wedding have a reception hall.",a wedding have a reception hall .,what weddings have,what has a reception hall,what is true about weddings
"Typically, a pollination may have occurred by a bee, wasp.","a pollination occurs by a bee , wasp .",what pollinations occur by,"what occurs by a bee , wasp",what is true about pollinations
"Typically, a ill patient may be placed on a ventilator to help with breathing.",a ill patient is placed on a ventilator to help with breathing .,what ill patients are placed on a ventilator to help,what is placed on a ventilator to help with breathing,what is true about ill patients
"Typically, a hedge shears may be used to trim a hedge.",a hedge shears are used to trim a hedge .,what hedge shears are used to do,what is used to trim a hedge,what is true about hedge shears
"Typically, a garbage can is a receptacle.",a garbage is a receptacle .,what garbages are,what is a receptacle,what is true about garbages
"Typically, a drummer has a drum.",a drummer has a drum .,what drummers have,what has a drum,what is true about drummers
"Typically, a conflict are resolved through diplomacy, negotiation, or military action.","a conflict are resolved through diplomacy , negotiation , or military action .",what conflicts are resolved through,"what is resolved through diplomacy , negotiation , or military action",what is true about conflicts
"Most mammals have a central nervous system, which controls body movements.","mammals have a central nervous system , which controls body movements .",what mammals have,"what has a central nervous system , which controls body movements",what is true about mammals
"Generally, pecans may be eaten fresh, dried or roasted.","pecans are eaten fresh , dried or roasted .",what pecans are eaten,"what is eaten fresh , dried or roasted",what is true about pecans
