generic,original_generic,category
Eagles have feathers.,eagles have feathers.,maj
Birds feed on grain.,birds feed on grain.,maj
Peregrine falcons have wings.,peregrine falcons have wings.,maj
Scarlet macaws eat fruit.,scarlet macaws eat fruit.,maj
Birds depend on vegetation.,birds depend on vegetation.,maj
Toucans live in rainforests.,toucans live in rainforests.,maj
Bird bones are hollow and filled with air from the bird's lungs.,bird bones are hollow and filled with air from the bird's lungs.,maj
Kingfishers have long tails.,kingfishers have long tails.,maj
Woodpeckers have wings.,woodpeckers have wings.,maj
White storks have legs.,white storks have legs.,maj
Robins eat earthworms.,robins eat earthworms.,maj
Songbirds feed on insects and spiders during the spring and summer months.,songbirds feed on insects and spiders during the spring and summer months.,maj
Owls respond to their own species calls if played back in a nesting territory.,owls respond to their own species calls if played back in a nesting territory.,maj
Eagles have bare legs.,eagles have bare legs.,maj
Golden lemurs have golden fur.,golden lemurs have golden fur.,maj
Hawks fly over trees.,hawks fly over trees.,maj
Birds possess flight.,birds possess flight.,maj
Bald eagles have bare legs.,bald eagles have bare legs.,maj
Wood storks capture prey.,wood storks capture prey.,maj
Birds adapt to life.,birds adapt to life.,maj
Parrots have throats.,parrots have throats.,maj
Ostriches have beaks.,ostriches have beaks.,maj
Birds sit in nests.,birds sit in nests.,maj
Duckweeds have simple structures.,duckweeds have simple structures.,maj
Robins eat insects.,robins eat insects.,maj
Macaws have coloration.,macaws have coloration.,maj
Scarlet macaws feed on tropical fruit.,scarlet macaws feed on tropical fruit.,maj
Lemurs live for about eighteen years.,lemurs live for about eighteen years.,maj
Birds have hollow bones so they weigh less and make flight possible.,birds have hollow bones so they weigh less and make flight possible.,maj
Hummingbirds pollinate plants.,hummingbirds pollinate plants.,maj
Hummingbirds have metabolism.,hummingbirds have metabolism.,maj
Birds have four toes.,"birds have four toes, three that face forward and one rearward.",maj
Birds eat relatively large quantities of food in proportion to their body weight.,birds eat relatively large quantities of food in proportion to their body weight.,maj
Hummingbirds seek nectar.,hummingbirds seek nectar.,maj
Birds sit on legs.,birds sit on legs.,maj
Macaroni penguins have backs.,macaroni penguins have backs.,maj
Birds have solid bones.,birds have solid bones.,maj
Mallards feed in environments.,mallards feed in environments.,maj
Birds have muscles.,birds have muscles.,maj
Ospreys make nests.,ospreys make nests.,maj
Parrots bite out of fear.,parrots bite out of fear.,maj
Pelicans has-part glands.,pelicans has-part glands.,maj
Owls have ears.,owls have ears.,maj
Birds have eyes on their sides of their head.,birds have eyes on their sides of their head.,maj
Flamingos feed in lagoons.,flamingos feed in lagoons.,maj
Birds eat earthworms.,birds eat earthworms.,maj
Birds wait for prey.,birds wait for prey.,maj
Birds use wings.,birds use wings.,maj
Cockatiels have length.,cockatiels have length.,maj
Pigeons live in enormous colonies.,pigeons live in enormous colonies.,maj
Birds have natural predators.,birds have natural predators.,maj
Falcons eat animals.,falcons eat animals.,maj
Songbirds adapt to temperature.,songbirds adapt to temperature.,maj
Hummingbirds adapt to extreme environments.,hummingbirds adapt to extreme environments.,maj
Birds have calls.,birds have calls.,maj
Seabirds have lifespans.,seabirds have lifespans.,maj
Blue lorikeets feed on mangos.,blue lorikeets feed on mangos.,maj
Birds regurgitate food.,birds regurgitate food.,maj
Birds have eyelids.,birds have eyelids.,maj
Meadowlarks eat seeds.,meadowlarks eat seeds.,maj
Woodpeckers nest in holes.,woodpeckers nest in holes.,maj
Birds eat spiders.,birds eat spiders.,maj
Lemurs possess retinas.,lemurs possess retinas.,maj
Eagles eat seabirds.,eagles eat seabirds.,maj
Birds have poor night vision.,birds have poor night vision.,maj
Scarlet macaws have beaks.,scarlet macaws have beaks.,maj
Owls have flight feathers.,owls have flight feathers.,maj
Lemurs live in areas.,lemurs live in areas.,maj
Throat macaws eat fruit.,throat macaws eat fruit.,maj
Pelicans has-part toes.,pelicans has-part toes.,maj
Ducks acquire breeding plumage in the fall.,"ducks acquire breeding plumage in the fall, six or seven months before other birds.",maj
Hawks eat mice.,hawks eat mice.,maj
Peacocks have legs.,peacocks have legs.,maj
Birds reach ages.,birds reach ages.,maj
Birds require lots of energy.,"birds require lots of energy, so their bodies use up the food they eat very quickly.",maj
Eagles inhabit northern hemispheres.,eagles inhabit northern hemispheres.,maj
Birds require wings.,birds require wings.,maj
Pigeons grow feathers.,pigeons grow feathers.,maj
Parrots stand on feet.,parrots stand on feet.,maj
Storks have diets.,storks have diets.,maj
Albatrosses reach sexual maturity.,albatrosses reach sexual maturity.,maj
Emperor penguins weigh pounds.,emperor penguins weigh pounds.,maj
Swans have pure white feathers.,swans have pure white feathers.,maj
Hummingbirds migrate to food.,hummingbirds migrate to food.,maj
Birds possess bodies.,birds possess bodies.,maj
Owls eat prey.,owls eat prey.,maj
Birds use legs.,birds use legs.,maj
Birds has-part vertebrae.,birds has-part vertebrae.,maj
Eagles have scaly.,"eagles have scaly, bright yellow skin on their feet.",maj
Birds fly over nests.,birds fly over nests.,maj
Penguins carry eggs.,penguins carry eggs.,maj
Peacocks have lifespans.,peacocks have lifespans.,maj
Juvenile ospreys have speckle coloration.,juvenile ospreys have speckle coloration.,maj
Warblers eat small insects.,warblers eat small insects.,maj
Toucans are canopy specialists in tropical or montane rainforest.,toucans are canopy specialists in tropical or montane rainforest.,maj
Birds depend on ecosystems.,birds depend on ecosystems.,maj
Eagles have beaks.,eagles have beaks.,maj
Owls have metabolism.,owls have metabolism.,maj
Birds survive first years.,birds survive first years.,maj
Wood ducks live in locations.,wood ducks live in locations.,maj
Goose barnacles eat brine shrimp.,goose barnacles eat brine shrimp.,maj
Birds have heads.,birds have heads.,maj
Birds eat grasshoppers.,birds eat grasshoppers.,maj
Hawks live in habitats.,hawks live in habitats.,maj
Mongooses feed on small vertebrates.,"mongooses feed on small vertebrates, insects and other invertebrates, and occasionally fruits.",maj
Hummingbirds adapt to environments.,hummingbirds adapt to environments.,maj
Hummingbirds pollinate wildflowers.,hummingbirds pollinate wildflowers.,maj
